PID	mtc_mock_even_lc
SERSYN-PWY	16
PWY0-43	1
PWY3O-210	1
MANNIDEG-PWY	4
PWY-6196	1
PWY0-1495	1
2PHENDEG-PWY	1
PWY0-1497	1
AST-PWY	2
PWY0-1492	1
PWY0-1493	1
ASPARAGINE-DEG1-PWY	15
PWY0-1498	1
PWY0-1499	1
PWY0-181	7
P201-PWY	1
PWY0-1391	5
HEME-BIOSYNTHESIS-II	2
THRDLCTCAT-PWY	2
PWY0-1479	3
PWY0-1347	1
NAGLIPASYN-PWY	12
PWY0-163	18
PWY0-166	18
ALKANEMONOX-PWY	1
LEUSYN-PWY	17
TRPSYN-PWY	16
ALANINE-SYN2-PWY	1
PWY5F9-12	1
PWY-6164	16
PWY0-1313	8
PWY-6166	3
PWY0-1471	1
PWY-5155	11
ASPARAGINESYN-PWY	9
ARGSYN-PWY	14
OANTIGEN-PWY	5
METHYLGALLATE-DEGRADATION-PWY	7
DARABCATK12-PWY	3
ALACAT2-PWY	2
PHENYLALANINE-DEG1-PWY	3
PWY-1501	1
METHIONINE-DEG1-PWY	6
1CMET2-PWY	9
OXIDATIVEPENT-PWY	11
PUTDEG-PWY	1
SO4ASSIM-PWY	4
PWY-5169	1
PROPIONMET-PWY	4
PWY-5651	2
LYXMET-PWY	3
PWY-1881	4
PWY-5938	12
PWY-5939	2
PWY-5785	17
P21-PWY	14
PWY-5783	4
PWY0-1470	1
PWY-4381	1
ALANINE-VALINESYN-PWY	17
PWY-5461	1
LIPASYN-PWY	5
TCA	4
P223-PWY	1
PWY-5453	1
GALACTUROCAT-PWY	7
PWY-5600	3
PWY-6454	4
PWY-6455	3
PWY-5162	1
PWY-5767	1
PWY-5766	1
CRNFORCAT-PWY	2
PWY-6353	1
PWY-6357	5
SUCUTIL-PWY	4
PWY-5807	2
P2-PWY	5
PWY-6118	1
CHOLINE-BETAINE-ANA-PWY	1
SULFMETII-PWY	2
PWY66-21	2
GLYSYN-ALA-PWY	1
ASPASN-PWY	1
PWY-5111	4
PWY-4821	7
P101-PWY	3
PWY0-1356	1
PWY0-1355	1
PWY0-1353	4
PWY0-1352	1
N2FIX-PWY	2
PWY0-662	18
PWY0-661	3
PHOSPHONOTASE-PWY	2
GALLATE-DEGRADATION-I-PWY	1
IDNCAT-PWY	11
GLUTORN-PWY	14
ARO-PWY	17
ACETOACETATE-DEG-PWY	1
PWY0-1503	1
PWY0-1500	1
PWY0-1501	1
PWY0-1506	1
PWY0-1507	4
PWY0-1505	1
GLUAMCAT-PWY	14
VALSYN-PWY	16
NAD-BIOSYNTHESIS-III	1
GLUCOSE1PMETAB-PWY	11
PWY-4261	2
PWY-5344	10
PWY-3982	4
PWY-5028	1
PWY-5340	8
LIPA-CORESYN-PWY	4
PWY-5026	1
TYRFUMCAT-PWY	1
PWY-5022	1
PWY-4041	2
PWY-5973	10
PWY-5971	14
PWY-66	5
P483-PWY	2
PWY-6139	15
PWY-6130	1
PWY-6137	8
PWY-6135	3
PWY-6134	1
HOMOSER-METSYN-PWY	17
PWY0-1433	1
PWY-5509	9
PWY-5508	11
PWY-5507	5
GLUT-REDOX-PWY	4
FAO-PWY	13
PROSYN-PWY	13
NONMEVIPP-PWY	17
SALVADEHYPOX-PWY	17
PWY0-901	6
PWY-6317	16
GLUCARDEG-PWY	4
PWY-5485	13
PWY-5482	1
PWY-5483	4
PWY-5480	3
PWY-5481	6
PWY-4361	1
PWY-5642	1
DETOX1-PWY	14
GALACTITOLCAT-PWY	1
ARGSPECAT-PWY	1
SORBDEG-PWY	2
PWY0-42	2
HISDEG-PWY	8
PWY0-41	1
PWY0-44	1
ETOH-ACETYLCOA-ANA-PWY	2
GLYSYN-THR-PWY	9
PWY0-1312	14
PWY-5659	15
PWY0-1317	4
PWY0-1315	5
PWY0-1314	9
PWY-5653	1
FORMASS-PWY	1
NADPHOS-DEPHOS-PWY	9
P601-PWY	2
UBISYN-PWY	7
PWY-6406	5
PWY-3282	1
HOMOSER-THRESYN-PWY	17
PWY-5852	9
PWY-5855	2
PWY-5857	2
PWY-5856	2
ALADEG-PWY	1
BSUBPOLYAMSYN-PWY	7
BIOTIN-SYNTHESIS-PWY	12
GLUTSYNIII-PWY	6
P142-PWY	4
PWY0-1264	14
PWY0-1261	2
P162-PWY	2
SAM-PWY	18
