PID	mtc_mock_even_hc
PWY-681	1
LEU-DEG2-PWY	1
PWY-5746	1
P124-PWY	1
PWY-4621	1
PWY-5490	1
PWY-5493	1
PWY-6326	1
PWY-5326	1
PWY-5497	1
PWY490-4	1
PWY4FS-7	1
PWY-6328	1
TOLUENE-DEG-4-OH-PWY	1
PWY-5086	1
PWY-5087	1
PWY-5084	1
PWY490-3	1
PWY-5913	1
PWY-5915	1
PYRIDOXSYN-PWY	1
PWY-5917	1
PWY3O-210	1
PYRIDNUCSAL-PWY	1
MANNIDEG-PWY	1
PWY3O-440	1
ILEUSYN-PWY	1
THIOREDOX-PWY	1
PWY5F9-3233	1
PWY0-1500	1
PWY0-1305	1
PWY0-1306	1
PWY-5143	1
PWY-5142	1
PWY-5668	1
PWY-5669	1
PWY-5667	1
CYANCAT-PWY	1
PWY-5663	1
PWY-5661	1
P164-PWY	1
PWY-6435	1
PWY-6000	1
PWY-6430	1
COA-PWY	1
PWY-6578	1
XYLCAT-PWY	1
CALVIN-PWY	1
PWY-5989	1
PWY-5988	1
PWYQT-4429	1
PWY0-1490	1
P108-PWY	1
PWY-5986	1
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	1
NAD-BIOSYNTHESIS-III	1
CENTBENZCOA-PWY	1
ASPARTATESYN-PWY	1
PWY-4921	1
FERMENTATION-PWY	1
PWY490-5	1
GLUGLNSYN-PWY	1
PWY0-1275	1
PWY490-7	1
PARATHION-DEGRADATION-PWY	1
PWY-2661	1
PWY-6507	1
GLYOXDEG-PWY	1
PWY-2161B	1
PWY-4341	1
NAD-BIOSYNTHESIS-II	1
PWY0-301	1
MALTOSECAT-PWY	1
PWY-4561	1
CENTFERM-PWY	1
PWY-5278	1
GLYCLEAV-PWY	1
PWY-6143	1
PWY-6147	1
PWY-5298	1
SAM-PWY	1
DARABITOLUTIL-PWY	1
PWY0-541	1
PWY0-461	1
PWY-4081	1
PWY0-1280	1
SALVPURINE2-PWY	1
ENTBACSYN-PWY	1
PWY-5929	1
P345-PWY	1
PWY-5076	1
GLUTAMATE-DEG1-PWY	1
PWY-5366	1
PWY-5364	1
PWY-301	1
PWY-5046	1
PWY-5921	1
P1-PWY	1
PWY-4101	1
PWY-5041	1
PWY-5028	1
HCAMHPDEG-PWY	1
PWY-5340	1
PANTO-PWY	1
TEICHOICACID-PWY	1
PWY-1781	1
PWY0-381	1
PWY-5025	1
PWY0-1458	1
P222-PWY	1
PWY-5448	1
PWY-5629	1
PWY-3722	1
PWY-5189	1
PWY-5188	1
AMMOXID-PWY	1
PWY-5740	1
PWY-1581	1
ARGSYNBSUB-PWY	1
PWY-5744	1
PWY-5747	1
PWY-6475	1
PWY-6519	1
PWY-6478	1
PWY-3801	1
PWY-6374	1
PWY-1341	1
PWY-2301	1
FASYN-ELONG-PWY	1
PWY-6277	1
PWY-6279	1
GLUTAMATE-SYN2-PWY	1
GALACTCAT-PWY	1
PWY-6529	1
BETSYN-PWY	1
PARATHION-CATABOLISM-PWY	1
PWY-5951	1
PWY-5698	1
PWY-5697	1
PWY-5695	1
PWY3O-4106	1
PWY-5691	1
PWY-5690	1
HOMOSERSYN-PWY	1
P221-PWY	1
4-HYDROXYMANDELATE-DEGRADATION-PWY	1
PLPSAL-PWY	1
PWY0-1335	1
VALDEG-PWY	1
PWY0-1338	1
PWY-5136	1
PWY0-1334	1
PWY0-1337	1
PWY0-1336	1
PWY-5130	1
PWY-2622	1
HISTSYN-PWY	1
PWY-6384	1
PWY-6385	1
PWY-6386	1
PWY-6387	1
P23-PWY	1
ANAPHENOXI-PWY	1
SUCSYN-PWY	1
PWY-6388	1
PWY-6389	1
PWY-5874	1
PWY-1281	1
PWY-4441	1
GLYCEROLMETAB-PWY	1
P381-PWY	1
TRYPDEG-PWY	1
PWY-4722	1
PWY0-1483	1
PWY0-1482	1
ASPARTATE-DEG1-PWY	1
PWY-6185	1
PWY0-1487	1
PWY-6183	1
PWY0-1485	1
PWY-6021	1
PWY0-1241	1
PWY-6499	1
DHGLUCONATE-PYR-CAT-PWY	1
GLUDEG-II-PWY	1
P641-PWY	1
PWY0-1300	1
PWY-6163	1
PWY0-1301	1
PWY-3841	1
PWY-5005	1
PWY0-1303	1
P261-PWY	1
PWY-5103	1
ANARESP1-PWY	1
RUMP-PWY	1
ARGDEG-V-PWY	1
CHLOROPHYLL-SYN	1
TRPSYN-PWY	1
PWY-43	1
PWY-40	1
PWY-46	1
PWY0-862	1
TRNA-CHARGING-PWY	1
PWY-1622	1
PWY0-1415	1
PWY-6178	1
PWY0-1309	1
PWY-4984	1
GLUCONSUPER-PWY	1
PWY-5521	1
PWY-4983	1
P344-PWY	1
PWY-5148	1
PWY-761	1
P483-PWY	1
PWY-5705	1
PWY-5704	1
REDCITCYC	1
DRIBOPMET-PWY	1
PWY-5703	1
ANAEROFRUCAT-PWY	1
PWY-6336	1
PWY-5886	1
PWY-6330	1
PWY-6333	1
PWY-5097	1
PWY-6339	1
PWY-5901	1
PWY-5907	1
P321-PWY	1
FOLSYN-PWY	1
PWY-1269	1
PCEDEG-PWY	1
PWY-5419	1
PWY0-1468	1
PWY-5791	1
PWYG-321	1
PWY-5794	1
GLYCOLYSIS-TCA-GLYOX-BYPASS	1
PWY0-1465	1
PWY0-1466	1
GLUTAMINEFUM-PWY	1
GLYCOLYSIS	1
GALACTMETAB-PWY	1
PWY-5172	1
PWY-5177	1
TRESYN-PWY	1
PWY-5670	1
PWY-5673	1
PWY-5675	1
PWY-5674	1
PWY-5677	1
PWY-5676	1
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	1
PWY-743	1
GLYCOGENSYNTH-PWY	1
PWY-6044	1
CITRULBIO-PWY	1
PWY-5382	1
PWY-6344	1
PWY-5384	1
PWY-5386	1
PWY-6348	1
PWY-5885	1
GLYCINE-SYN2-PWY	1
PWY-5837	1
PWY-5427	1
PWY-5833	1
PWY-5831	1
GALLATE-DEGRADATION-II-PWY	1
MALATE-ASPARTATE-SHUTTLE-PWY	1
PWY-4121	1
PWY-5839	1
PWY-1801	1
P562-PWY	1
QUINATEDEG-PWY	1
LACTOSEUTIL-PWY	1
CYSTSYN-PWY	1
PWY-2	1
PYRUVDEHYD-PWY	1
P184-PWY	1
FASYN-INITIAL-PWY	1
BGALACT-PWY	1
GLUTATHIONESYN-PWY	1
PWY-5981	1
ARGDEGRAD-PWY	1
PWY-901	1
ASPARAGINE-BIOSYNTHESIS	1
PWY-5104	1
PWY-5197-1	1
HEMESYN2-PWY	1
PWY-6518	1
PWY-3781	1
PHESYN	1
PWY-6517	1
PWY-6184	1
PWY-5429	1
PWY-6512	1
TRPIAACAT-PWY	1
PWY-6028	1
ALANINE-DEG3-PWY	1
GLYSYN-PWY	1
PWY-6158	1
PWY-1701	1
PWY-6154	1
PWY-6151	1
PWY-5484	1
PWY-6153	1
PWY1-2	1
PWY1-3	1
PWY-6012	1
PWY-6013	1
PWY-6018	1
